run,batch_index,query_indices,query_count,batch_latency_ns,k,recall_at_k,recall_at_10,result_count,eligible_count,upload_bytes,readback_bytes,max_qenlo_allocation_bytes,process_allocation_count,process_allocated_bytes,upload_enqueue_ns,readback_completion_ns,backend_execution_ns,device_scoring_ns,device_selection_ns,actual_backend,backend_counts,lock_wait_ns,cpu_distance_path,routing_reasons,fallback,gpu_row_preparation,predicate_traversals,row_materialization_ns,materialized_rows,row_cache_hit,eligibility_predicate_kind,eligibility_representation,eligibility_generation,corpus_rows,eligibility_transfer_bytes,eligible_contiguous_runs
0,0,13;11;19;46;37;27;7;15;41;50;24;8;17;23;60;49,16,333035,10,1,1,160,10,394880,41472,11079296,460,158430,14240,125904,289981,11456,26144,Wgpu,Wgpu:16,2096,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
0,1,22;25;3;16;34;31;9;12;14;2;29;30;33;53;44;35,16,218288,10,1,1,160,10,394880,41472,11079296,329,141820,9632,99052,179762,8512,25888,Wgpu,Wgpu:16,2416,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
0,2,43;55;21;39;1;56;32;45;54;18;10;51;0;47;5;63,16,222114,10,1,1,160,10,394880,41472,11079296,329,141820,8632,97021,183335,8480,25696,Wgpu,Wgpu:16,2352,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
0,3,38;48;52;20;58;61;6;59;57;62;40;28;42;26;36;4,16,217047,10,1,1,160,10,394880,41472,11079296,329,141820,8797,96754,179486,8480,25792,Wgpu,Wgpu:16,2096,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
1,0,16;14;4;36;26;30;3;32;15;10;38;24;59;54;2;34,16,223075,10,1,1,160,10,394880,41472,11079296,329,141820,9646,99451,185421,8448,25856,Wgpu,Wgpu:16,2592,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
1,1,0;50;29;13;52;55;18;31;12;7;40;35;22;27;6;57,16,211779,10,1,1,160,10,394880,41472,11079296,329,141820,8398,97656,175250,8448,25664,Wgpu,Wgpu:16,1792,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
1,2,8;42;1;61;62;11;20;45;5;46;56;41;44;58;43;51,16,214228,10,1,1,160,10,394880,41472,11079296,329,141820,8232,103003,177687,8480,25888,Wgpu,Wgpu:16,1648,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
1,3,48;9;19;60;23;39;28;33;37;47;25;63;17;53;21;49,16,217745,10,1,1,160,10,394880,41472,11079296,329,141820,8137,100000,181089,10880,25824,Wgpu,Wgpu:16,1584,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
2,0,3;5;37;7;31;45;15;12;57;25;59;19;27;17;46;40,16,214876,10,1,1,160,10,394880,41472,11079296,329,141820,9503,96674,178201,8416,25824,Wgpu,Wgpu:16,1968,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
2,1,41;4;11;23;36;44;35;39;1;2;32;60;42;47;33;63,16,225447,10,1,1,160,10,394880,41472,11079296,329,141820,8042,109562,185668,8736,27072,Wgpu,Wgpu:16,2080,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
2,2,13;28;16;58;29;24;8;62;51;55;21;61;43;0;48;14,16,239818,10,1,1,160,10,394880,41472,11079296,329,141820,12672,96603,202065,8448,25696,Wgpu,Wgpu:16,2736,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
2,3,9;20;49;54;6;52;50;56;38;34;10;26;53;18;22;30,16,219590,10,1,1,160,10,394880,41472,11079296,329,141820,14834,95710,183033,8448,25760,Wgpu,Wgpu:16,1824,not-applicable,,false,Cached,0,0,10,true,TimestampRange,TinyRows,1000,1000,40,10
